Id,uid,Timestamp,Identifier,Question,Status,Concept Id,uid (from Concept Id),concept id UID,Activity Mastery History,Activity Mastery,Training Session Activities,AnswerId,Answer (from AnswerId),Correct (from AnswerId),respuesta correcta Texto,Id (from AnswerId),Module Id (from Topic Id) (from Concept Id),Topic Id (from Concept Id),Modules User Saved,CorrectAnswer,videoFeedBack,feedbackText
262172,recEgG8MGbkQtvqs6,2020-02-28 22:58,A-AA39,Which musical instrument can Pip Guerette play?,active,113768,recTcM5ujSxA6VRP8,recEgG8MGbkQtvqs6,,"31,1763",,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262175,recMP2HWlUEEMJjCv,2020-02-28 22:58,A-AA41,Which of the following is Pip Guerette?,active,113768,recTcM5ujSxA6VRP8,recMP2HWlUEEMJjCv,,32,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262173,recknNVv0Xyn1KEPI,2020-02-28 22:58,A-AA42,Tiana Bricker’s favourite movie is:,active,113778,recUVE1339p1o2Ea9,recknNVv0Xyn1KEPI,,33,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262174,rec4hAjVve5Z6gf0Y,2020-02-28 22:58,A-AA40,"The team member shown below is Tiana Bricker.

",active,113778,recUVE1339p1o2Ea9,rec4hAjVve5Z6gf0Y,,34,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262176,recZHH2DaLDBSoXWp,2020-02-28 22:58,A-AA43,Tiana Bricker’s favorite place to spend a holiday is  ________.,active,113778,recUVE1339p1o2Ea9,recZHH2DaLDBSoXWp,,35,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262149,recqCB6mymxzS3ctE,2020-02-28 22:58,A-AA18,How many cats does Breanna Higgins have?,active,113761,recgw6X4uhg2edmQI,recqCB6mymxzS3ctE,,"36,959",,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262150,recOKx0U8QadGsF1z,2020-02-28 22:58,A-AA19,Breanna Higgins is a Safety Manager on the Production team.,active,113761,recgw6X4uhg2edmQI,recOKx0U8QadGsF1z,,"37,2724",,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262152,recuSQJwIlv4ebKkO,2020-02-28 22:58,A-AA59,What is Breanna Higgins’ favorite movie?,active,113761,recgw6X4uhg2edmQI,recuSQJwIlv4ebKkO,,"38,960,1760,2725",,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262147,recXmhY0VJsG0gmVl,2020-02-28 22:58,A-AA17,Which of the following is Joanne Dubose?,active,113762,recVKDv9pHvL9mm3h,recXmhY0VJsG0gmVl,,39,,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262148,recT85GfniuFTZ4Wn,2020-02-28 22:58,A-AA16,What is Joanne Dubose favorite food?,active,113762,recVKDv9pHvL9mm3h,recT85GfniuFTZ4Wn,,40,,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262151,recrFqnmOD47pOr4q,2020-02-28 22:58,A-AA15,Joanne Dubose is an HR Manager.,active,113762,recVKDv9pHvL9mm3h,recrFqnmOD47pOr4q,,41,,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262155,receS7vbyc4GIMnS0,2020-02-28 22:58,A-AA22,Rowan Alvaro is an Operations Shift Manager on the Production team.,active,113763,recEymnRgSiQ6phhb,receS7vbyc4GIMnS0,,42,,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262157,rec2mo7gd6xSs7K2N,2020-02-28 22:58,A-AA24,What is Rowan Alvaro’s guilty pleasure?,active,113763,recEymnRgSiQ6phhb,rec2mo7gd6xSs7K2N,,43,,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262158,rec5mWPCuj2xcvog6,2020-02-28 22:58,A-AA27,"Which of your teammates is shown below?

",active,113763,recEymnRgSiQ6phhb,rec5mWPCuj2xcvog6,,44,,,,,,,3483,13753,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
